,formation_energy,elem_frac,elem_list,energy,formula,magnetic_moment,spin_index,num_p,num_d,num_f,atomic_rad,atomic_vol,covalent_rad,dipole,eaffinity,num_electrons,atomic_rad_sum_dif,atomic_rad_std_dif,atomic_rad_std,atomic_rad_avg,atomic_rad_max_dif,atomic_vol_sum_dif,atomic_vol_std_dif,atomic_vol_std,atomic_vol_avg,atomic_vol_max_dif,covalentrad_sum_dif,covalentrad_std_dif,covalentrad_std,covalentrad_avg,covalentrad_max_dif,dipole_sum_dif,dipole_std_dif,dipole_std,dipole_avg,dipole_max_dif,eaffinity_sum_dif,eaffinity_std_dif,eaffinity_std,e_affinity_avg,e_affinity_max_dif,numelectron_sum_dif,numelectron_std_dif,numelectron_std,numelectron_avg,numelectron_max_dif,vdwradius_sum_dif,vdwradius_std_dif,vdwradius_std,vdwradius_avg,vdwradius_max_dif,e_negativity_sum_dif,e_negativity_std_dif,e_negativity_std,e_negativity_avg,e_negativity_max_dif,nvalence_sum_dif,nvalence_std_dif,nvalence_std,nvalence_avg,nvalence_max_dif,lastsubshell_avg,cmpd_skew_p,cmpd_skew_d,cmpd_skew_f,cmpd_sigma_p,cmpd_sigma_d,cmpd_sigma_f,frac_f ,std_ion,sum_ion,mean_ion,Born,hardness_mean,hardness_var,Nup_mean,Nup_var,cs_bob,cs_PE,cs_IR,cs_AR,cs_OX
0,-1.152919513,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Co, Element Ge, Element Te, Element P]",-46.78203613,Cr1Co1Ge1Te6P1,2.816,1,4,9,0,"[130.0, 125.0, 137.0, 160.0, 128.0]","[7.23, 6.7, 13.6, 20.5, 17.0]","[122.0, 111.00000000000001, 121.0, 136.0, 111.00000000000001]","[78.4, 57.71, 39.43, 37.0, 24.93]","[0.6659999999999999, 0.66225646, 1.232712, 1.9708759999999999, 0.746607]","[24, 27, 32, 52, 15]",158,0.997876943,0.008628893,148,35,74.74,0.628971515,0.172140142,16.753,13.8,122,0.775396399,0.005852697,128.1,25,255.3,0.672181672,0.154617117,42.247,53.47,6.36790216,0.959120181,0.228102878,1.513283146,1.30861954,164,0.761414337,0.168444444,41,37,136,0.997729239,0.002938343,203.3,31,136,0.997729239,0.002938343,203.3,31,22,0.80785124,0.077777778,6,5,"[((3, 'd'), 3), ((3, 'd'), 6), ((4, 's'), 1), ((5, 'p'), 4), ((3, 's'), 2)]",0,0,0,1,0.666666667,0,0,0.887471967,43.43936867,8.687873733,824.8393691,3.676484954,0.392730364,3.2,2.16,42880.10573,966.64,13.905,11.5,4917162.56
1,-1.32531098,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Co, Element Ge, Element Te]",-46.17199237,Cr1Co1Ge2Te6,3.142,1,4,9,0,"[130.0, 125.0, 137.0, 160.0]","[7.23, 6.7, 13.6, 20.5]","[122.0, 111.00000000000001, 121.0, 136.0]","[78.4, 57.71, 39.43, 37.0]","[0.6659999999999999, 0.66225646, 1.232712, 1.9708759999999999]","[24, 27, 32, 52]",168,0.831632653,0.009425541,148.9,35,71.655,0.762021626,0.217874577,16.413,13.8,114,0.756232687,0.005281133,129.1,25,213.72,0.745633222,0.098059454,43.697,41.4,6.73885593,0.825942645,0.224303979,1.561893646,1.30861954,133.5,0.926019442,0.104636488,42.7,28,49.5,0.785123967,0.000358762,206.4,11,49.5,0.785123967,0.000358762,206.4,11,22.5,0.813333333,0.0816,5.9,5,"[((3, 'd'), 3), ((3, 'd'), 6), ((4, 's'), 1), ((5, 'p'), 4)]",0,0,0,1,0.666666667,0,0,0.611700668,33.35397667,8.338494167,824.5673967,3.378096318,0.045734063,3.25,2.6875,44357.76082,984.88,12.43833333,11.35,5087200.04
2,-1.458288025,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Cr, Element Co, Element Si, Element Ge, Element Te]",-47.1075897,Cr1Co1Si1Ge1Te6,3.149,1,4,9,0,"[130.0, 125.0, 132.0, 137.0, 160.0]","[7.23, 6.7, 12.1, 13.6, 20.5]","[122.0, 111.00000000000001, 115.99999999999999, 121.0, 136.0]","[78.4, 57.71, 37.31, 39.43, 37.0]","[0.6659999999999999, 0.66225646, 1.3895211, 1.232712, 1.9708759999999999]","[24, 27, 14, 32, 52]",154,0.968080621,0.007981088,148.4,35,67.94,0.701470128,0.173773278,16.263,13.8,112,0.747847577,0.00477622,128.6,25,206.4,0.918619616,0.104746506,43.485,41.4,6.68152036,0.686061191,0.171739488,1.577574556,1.30861954,168,0.746740363,0.177649655,40.9,38,52,0.73816568,0.00035236,206.3,11,52,0.73816568,0.00035236,206.3,11,24,0.822916667,0.099881094,5.9,5,"[((3, 'd'), 3), ((3, 'd'), 6), ((3, 's'), 1), ((4, 's'), 1), ((5, 'p'), 4)]",0,0,0,1,0.666666667,0,0,0.551463083,41.51981933,8.303963867,824.5597236,3.378693244,0.036588675,3,2.4,42715.38977,991.35,13.955,11,4806565.92
3,-1.389637388,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Co, Element Si, Element Te, Element P]",-47.82137429,Cr1Co1Si1Te6P1,2.841,0,4,9,0,"[130.0, 125.0, 132.0, 160.0, 128.0]","[7.23, 6.7, 12.1, 20.5, 17.0]","[122.0, 111.00000000000001, 115.99999999999999, 136.0, 111.00000000000001]","[78.4, 57.71, 37.31, 37.0, 24.93]","[0.6659999999999999, 0.66225646, 1.3895211, 1.9708759999999999, 0.746607]","[24, 27, 14, 52, 15]",148,1.305514974,0.008866941,147.5,35,74.74,0.629172909,0.180387169,16.603,13.8,122,0.825786079,0.00612022,127.6,25,255.3,0.708415934,0.160826209,42.035,53.47,6.68152036,0.884785787,0.227856719,1.528964056,1.30861954,176,0.907121643,0.271235078,39.2,38,132,1.048898072,0.00284461,203.2,30,132,1.048898072,0.00284461,203.2,30,22,0.80785124,0.077777778,6,5,"[((3, 'd'), 3), ((3, 'd'), 6), ((3, 's'), 1), ((5, 'p'), 4), ((3, 's'), 2)]",0,0,0,1,0.666666667,0,0,0.854216835,43.66052967,8.732105933,824.8063601,3.686028844,0.386545242,3.2,2.16,39337.73467,1035.21,13.72833333,12.15,4902984.32
4,-1.62026827,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Co, Element Si, Element Te]",-48.07219023,Cr1Co1Si2Te6,3.156,1,4,9,0,"[130.0, 125.0, 132.0, 160.0]","[7.23, 6.7, 12.1, 20.5]","[122.0, 111.00000000000001, 115.99999999999999, 136.0]","[78.4, 57.71, 37.31, 37.0]","[0.6659999999999999, 0.66225646, 1.3895211, 1.9708759999999999]","[24, 27, 14, 52]",160.5,1.087169185,0.009982988,147.9,35,69.405,0.831931416,0.226439464,16.113,13.8,121.5,0.71071483,0.005964502,128.1,25,216.9,0.788913338,0.105599502,43.273,41.4,6.97406958,0.778463349,0.218599255,1.593255466,1.30861954,175.5,0.829790343,0.228723793,39.1,38,45,0.813333333,0.000301916,206.2,10,45,0.813333333,0.000301916,206.2,10,22.5,0.813333333,0.0816,5.9,5,"[((3, 'd'), 3), ((3, 'd'), 6), ((3, 's'), 1), ((5, 'p'), 4)]",0,0,0,1,0.666666667,0,0,0.582924316,33.57513767,8.393784417,824.5443251,3.39002618,0.045093667,3.25,2.6875,37805.76082,1133.2,15.185,13.15,5051754.44
5,-0.641226036,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Te: 0.6}, {Element P: 0.2}]","[Element Cr, Element Co, Element Te, Element P]",-47.05277788,Cr1Co1Te6P2,2.603,1,4,9,0,"[130.0, 125.0, 160.0, 128.0]","[7.23, 6.7, 20.5, 17.0]","[122.0, 111.00000000000001, 136.0, 111.00000000000001]","[78.4, 57.71, 37.0, 24.93]","[0.6659999999999999, 0.66225646, 1.9708759999999999, 0.746607]","[24, 27, 52, 15]",160.5,1.226919382,0.010808923,147.1,35,76.755,0.77394927,0.219507313,17.093,13.8,129,0.825851812,0.007326389,127.1,25,271.68,0.621778389,0.16956199,40.797,53.47,6.00969843,1.455877985,0.301053594,1.464672646,1.30861954,171,0.854108957,0.21631715,39.3,37,126,1.068027211,0.002907867,200.2,26,126,1.068027211,0.002907867,200.2,26,18,1,0.053254438,6.1,4,"[((3, 'd'), 3), ((3, 'd'), 6), ((5, 'p'), 4), ((3, 's'), 2)]",0,0,0,1,0.666666667,0,0,0.901056935,35.494687,8.87367175,824.7800033,3.762265818,0.454121172,3.5,2.25,38071.76082,1058.38,15.065,14.35,5340605.2
6,-0.756969683,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Cu, Element Ge, Element Te, Element P]",-43.00409196,Cr1Cu1Ge1Te6P1,2.839,0,4,11,0,"[130.0, 128.0, 137.0, 160.0, 128.0]","[7.23, 7.1, 13.6, 20.5, 17.0]","[122.0, 112.00000000000001, 121.0, 136.0, 111.00000000000001]","[78.4, 46.5, 39.43, 37.0, 24.93]","[0.6659999999999999, 1.235, 1.232712, 1.9708759999999999, 0.746607]","[24, 29, 32, 52, 15]",146,1.167386001,0.007923016,148.3,32,73.14,0.643576297,0.164299381,16.793,13.4,120,0.758680556,0.005590446,128.2,25,232.88,0.861550472,0.157766075,41.126,53.47,6.19629,0.762705816,0.15814088,1.5705575,1.304876,164,0.740965199,0.162136427,41.2,37,144,0.834972994,0.003050097,202.9,31,144,0.834972994,0.003050097,202.9,31,30,1.027777778,0.142578125,6.2,7,"[((3, 'd'), 3), ((3, 'd'), 8), ((4, 's'), 1), ((5, 'p'), 4), ((3, 's'), 2)]",0,0.29479962,0,1,0.809917355,0,0,0.896836783,44.45715533,8.891431067,735.6186959,3.6037476,0.423655798,2.8,2.96,42542.51349,1202.5,14.45333333,14.2,3571073.98
7,-0.81689044,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Cu, Element Ge, Element Te]",-42.28157749,Cr1Cu1Ge2Te6,2.873,0,4,11,0,"[130.0, 128.0, 137.0, 160.0]","[7.23, 7.1, 13.6, 20.5]","[122.0, 112.00000000000001, 121.0, 136.0]","[78.4, 46.5, 39.43, 37.0]","[0.6659999999999999, 1.235, 1.232712, 1.9708759999999999]","[24, 29, 32, 52]",154.5,0.950796494,0.008398669,149.2,32,69.855,0.793119024,0.20725388,16.453,13.4,109.5,0.769938075,0.004890472,129.2,24,196.905,1.041048484,0.108461927,42.576,41.4,5.875374,0.790628594,0.131790059,1.619168,1.304876,130.5,0.914123398,0.096488891,42.9,28,67.5,0.87654321,0.000708151,206,15,67.5,0.87654321,0.000708151,206,15,31.5,0.941043084,0.146776406,6.1,7,"[((3, 'd'), 3), ((3, 'd'), 8), ((4, 's'), 1), ((5, 'p'), 4)]",0,0.29479962,0,1,0.809917355,0,0,0.74827346,34.37176333,8.592940833,735.4964834,3.287174625,0.028477505,2.75,3.6875,36840.05555,599.74,9.413333333,7.75,2663923.56
8,-0.929483655,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Cr, Element Cu, Element Si, Element Ge, Element Te]",-43.19679099,Cr1Cu1Si1Ge1Te6,2.892,0,4,11,0,"[130.0, 128.0, 132.0, 137.0, 160.0]","[7.23, 7.1, 12.1, 13.6, 20.5]","[122.0, 112.00000000000001, 115.99999999999999, 121.0, 136.0]","[78.4, 46.5, 37.31, 39.43, 37.0]","[0.6659999999999999, 1.235, 1.3895211, 1.232712, 1.9708759999999999]","[24, 29, 14, 32, 52]",142,1.11763539,0.007237763,148.7,32,66.34,0.725841307,0.165844255,16.303,13.4,108,0.774691358,0.004494516,128.7,24,183.98,1.279931087,0.108409279,42.364,41.4,5.5331222,0.773595147,0.103002044,1.63484891,1.304876,168,0.729024943,0.171220561,41.1,38,68,0.903114187,0.000664878,205.9,15,68,0.903114187,0.000664878,205.9,15,32,1.001953125,0.170655567,6.1,7,"[((3, 'd'), 3), ((3, 'd'), 8), ((3, 's'), 1), ((4, 's'), 1), ((5, 'p'), 4)]",0,0.29479962,0,1,0.809917355,0,0,0.690736268,42.537606,8.5075212,735.4677342,3.30595589,0.024192948,2.6,3.04,42371.79753,1227.21,14.50333333,13.7,3448254.24
9,-0.983889098,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Cu, Element Si, Element Te, Element P]",-44.03363166,Cr1Cu1Si1Te6P1,2.825,1,4,11,0,"[130.0, 128.0, 132.0, 160.0, 128.0]","[7.23, 7.1, 12.1, 20.5, 17.0]","[122.0, 112.00000000000001, 115.99999999999999, 136.0, 111.00000000000001]","[78.4, 46.5, 37.31, 37.0, 24.93]","[0.6659999999999999, 1.235, 1.3895211, 1.9708759999999999, 0.746607]","[24, 29, 14, 52, 15]",136,1.551903114,0.008214339,147.8,32,73.14,0.64659062,0.172415429,16.643,13.4,120,0.819444444,0.005880884,127.7,25,232.88,0.894142196,0.163579251,40.914,53.47,6.5053322,0.657193359,0.155432449,1.58623841,1.304876,180,0.834104938,0.264758298,39.4,38,140,0.87244898,0.002947779,202.8,30,140,0.87244898,0.002947779,202.8,30,30,1.027777778,0.142578125,6.2,7,"[((3, 'd'), 3), ((3, 'd'), 8), ((3, 's'), 1), ((5, 'p'), 4), ((3, 's'), 2)]",0,0.29479962,0,1,0.809917355,0,0,0.853456822,44.67831633,8.935663267,735.5780244,3.61329149,0.418859071,2.8,2.96,40214.14244,1236.31,14.28333333,14.65,3567730.02
